EnforcerID,PeriodStartTime,PeriodEndTime,ClientIP,ServerIP,ServiceID,LineID,PipeID,VCID,InstanceType,InstanceKey1,InstanceKey2,NetUnitID,ClientDeviceID,ClientDevice.Class,ClientDevice.Vendor,ClientDevice.Model,ClientDeviceOS.Name,ClientDeviceOS.FullVersion,ClientDeviceOS.MajorVersion,TetheringIndication,NextHopAS,DestinationAS,MonitoredServiceGroupID,SessionRAT,IPv6Prefix,IPv6PrefixLength,CongestionState,InTunnelType,InTunnelInfo1,InTunnelInfo2,OutTunnelType,OutTunnelInfo1,OutTunnelInfo2,SubSessionKey,SubscriberID,SourceAS,LiveConnections,NewConnections,PacketsIn,PacketsOut,OctetsIn,OctetsOut,NetworkActivityTimeSec,RetransmittedTcpDataSegmentsIn,TotalTcpDataSegmentsIn,RetransmittedTcpDataSegmentsOut,TotalTcpDataSegmentsOut,RttEstimateExternalAvgMsec,RttEstimateExternalSumMsec,RttEstimateExternaEventsMsec,RttEstimateInternalAvgMsec,RttEstimateInternalSumMsec,RttEstimateInternaEventsMsec,MaxBandwidthKbps,MinBandwidthKbps,VoiPSessionDuration,QosDroppedPacketsIn,QosDroppedPacketsOut,QosDroppedOctetsIn,QosDroppedOctetsOut,UDPPacketsIn,UDPPacketsOut,UDPOctetsIn,UDPOctetsOut,InQoSLatencyAvgMsec,OutQoSLatencyAvgMsec,InNetworkActivityTimeSec,OutNetworkActivityTimeSec,SilentlyDroppedConnections,RejectedConnections,ClosedPassedConnections
SGVE2,2021-12-18T09:40:00+0000,2021-12-18T09:45:00+0000,0::FFFF:xx.xx.xx.xx,-1,DNS,UD,UD,UD,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,0,UD,-1,FFFFFFFF-255,UD,-1,FFFFFFFF-255,0,9XXX506XXX,0,163,1225,1084,2093,183971,182570,0,0,0,4,7,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,300,300,0,0,1294
SGVE2,2021-12-18T09:40:00+0000,2021-12-18T09:45:00+0000,0::FFFF:xx.xx.xx.xx,-1,ICMP,UD,UD,UD,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,0,UD,-1,FFFFFFFF-255,UD,-1,FFFFFFFF-255,0,9XXX506XXX,0,1,1,0,58,0,12117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,0,0,1
SGVE2,2021-12-19T05:55:00+0000,2021-12-19T06:00:00+0000,0::FFFF:xx.xx.xx.xx,-1,Google Play,CaseTest,TestDevice1-SP,ALL-TRAFFIC,5,971506948478,419812019969,4127462284,Generic,-1,-1,-1,GENERIC,GENERIC,-1,Tethered,0,0,File Transfer,1004,-1,0,0,No tunnel information,-1,00000000-0,No tunnel information,-1,00000000-0,3,9XXX506XXX,0,1,1,2,3,148,735,0,0,12,0,12,4,4,1,18,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0
SGVE2,2021-12-19T05:55:00+0000,2021-12-19T06:00:00+0000,0::FFFF:xx.xx.xx.xx,-1,GoogleServices,CaseTest,TestDevice2-SP,ALL-TRAFFIC,5,971506948478,419812019969,4127462284,Generic,-1,-1,-1,GENERIC,GENERIC,-1,Tethered,0,0,Web Applications,1004,-1,0,0,No tunnel information,-1,00000000-0,No tunnel information,-1,00000000-0,2,9XXX506XXX,0,0,0,12,10,6941,2951,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,1
SGVE2,2021-12-19T05:55:00+0000,2021-12-19T06:00:00+0000,0::FFFF:xx.xx.xx.xx,-1,DNS over TLS,CaseTest,TEST-DEVICE-2,Fallback,0,0,0,1,Generic,-1,-1,-1,GENERIC,GENERIC,-1,Tethered,0,0,Network Operation,1000,-1,0,0,No tunnel information,-1,00000000-0,No tunnel information,-1,00000000-0,0,9XXX506XXX,0,1,3,0,48,0,7219,0,0,0,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,3
SGVE2,2021-12-19T05:55:00+0000,2021-12-19T06:00:00+0000,0::FFFF:xx.xx.xx.xx,-1,GoogleServices,CaseTest,TEST-DEVICE-2,Fallback,0,0,0,1,Generic,-1,-1,-1,GENERIC,GENERIC,-1,Tethered,0,0,Web Applications,1000,-1,0,0,No tunnel information,-1,00000000-0,No tunnel information,-1,00000000-0,0,9XXX506XXX,0,0,0,0,21,0,5911,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,3
SGVE2,2021-12-19T05:55:00+0000,2021-12-19T06:00:00+0000,0::FFFF:xx.xx.xx.xx,-1,Google Push Notifications,CaseTest,TestDevice2-SP,ALL-TRAFFIC,5,971506948478,419812019969,4127462284,Generic,-1,-1,-1,GENERIC,GENERIC,-1,Un-Tethered,0,0,Instant Messaging Applications,1004,-1,0,0,No tunnel information,-1,00000000-0,No tunnel information,-1,00000000-0,2,9XXX506XXX,0,0,0,2,0,483,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
SGVE2,2021-12-19T05:55:00+0000,2021-12-19T06:00:00+0000,0::FFFF:xx.xx.xx.xx,-1,HTTPS,CaseTest,TEST-DEVICE-2,Fallback,0,0,0,1,Generic,-1,-1,-1,GENERIC,GENERIC,-1,Tethered,0,0,Web Applications,1000,-1,0,0,No tunnel information,-1,00000000-0,No tunnel information,-1,00000000-0,0,9XXX506XXX,0,1,2,0,24,0,9882,0,0,0,2,23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,3
SGVE2,2021-12-19T05:55:00+0000,2021-12-19T06:00:00+0000,0::FFFF:xx.xx.xx.xx,-1,Google Push Notifications,CaseTest,TestDevice1-SP,ALL-TRAFFIC,5,971506948478,419812019969,4127462284,Generic,-1,-1,-1,GENERIC,GENERIC,-1,Un-Tethered,0,0,Instant Messaging Applications,1004,-1,0,0,No tunnel information,-1,00000000-0,No tunnel information,-1,00000000-0,3,9XXX506XXX,0,1,0,5,7,3833,1340,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,45,0,0,1
SGVE2,2021-12-19T05:55:00+0000,2021-12-19T06:00:00+0000,0::FFFF:xx.xx.xx.xx,-1,HTTPS,CaseTest,TestDevice1-SP,ALL-TRAFFIC,5,971506948478,419812019969,4127462284,Generic,-1,-1,-1,GENERIC,GENERIC,-1,Un-Tethered,0,0,Web Applications,1004,-1,0,0,No tunnel information,-1,00000000-0,No tunnel information,-1,00000000-0,3,9XXX506XXX,0,0,2,10,0,1284,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2
