EnforcerID;StartTime;SubscriberID;SessionKey;ClientIP;ClientPort;ServerIP;ServerPort;ServiceID;HTTPMethod;RequestHeader.Host;URI;DownloadContentLength;UploadContentLength;RequestActualByteCount;ResponseActualByteCount;ResponseCode;ServerInitialResponseTime;Duration;RequestHeader.DNT_x-do-not-track;RequestHeader.User-Agent;RequestHeader.Referer;ResponseHeader.Content-Type;L5Protocol;ClientDeviceID;ClientDevice.Class;ClientDevice.Vendor;ClientDevice.Model;ClientDeviceOS.Name;ClientDeviceOS.FullVersion;ClientDeviceOS.MajorVersion;LineID;PipeID;VCID;CDN;IMSI;IMEISV;Action;WebSafeFilterID
SGVE-1;2021-12-18T05:58:23+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;HTTPS;;prebid-server.rubiconproject.com;;0;0;517;3307;;114;115;;;;;HTTP2;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:23+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;HTTPS;;prebid-server.rubiconproject.com;;0;0;517;3307;;112;113;;;;;HTTP2;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:23+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;HTTPS;;prebid-server.rubiconproject.com;;0;0;517;3307;;116;116;;;;;HTTP2;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:23+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;HTTPS;;prebid-server.rubiconproject.com;;0;0;517;3307;;113;144;;;;;HTTP2;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:23+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;Encrypt;;prebid-server.rubiconproject.com;;0;0;13137;5574;;114;403;;;;;HTTP2;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:22+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;Advertisements;;a.teads.tv;;0;0;517;2716;;4;4;;;;;HTTPS;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:24+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;HTTPS;;coronaliveupdates.khaleejtimes.com;;0;0;517;2716;;124;124;;;;;HTTPS;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:20+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;Quic Obfuscated;;;;0;0;2314;1250;;28;28;;;;;HTTPS;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:38+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;GoogleServices;;adservice.google.com;;0;0;517;1358;;113;113;;;;;HTTPS;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:56+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;Quic Obfuscated;;;;0;0;1328;1250;;28;28;;;;;HTTPS;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:56+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;Quic Obfuscated;;;;0;0;1840;1250;;28;28;;;;;HTTPS;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
